Source;Target;Type;id;weight
77;51;Undirected;132;0.221621621622
32;51;Undirected;133;0.221621621622
59;51;Undirected;134;0.221621621622
4;95;Undirected;135;0.27027027027
55;4;Undirected;136;0.637837837838
4;96;Undirected;137;0.216216216216
19;97;Undirected;138;0.378378378378
26;78;Undirected;139;0.427027027027
77;8;Undirected;140;0.227027027027
98;89;Undirected;141;0.221621621622
22;99;Undirected;142;0.302702702703
29;55;Undirected;143;0.621621621622
19;100;Undirected;144;0.410810810811
20;12;Undirected;145;0.335135135135
4;44;Undirected;146;0.437837837838
101;102;Undirected;147;0.243243243243
47;94;Undirected;148;0.259459459459
69;103;Undirected;149;0.32972972973
4;85;Undirected;150;0.221621621622
19;63;Undirected;151;0.421621621622
32;59;Undirected;152;0.221621621622
77;23;Undirected;153;0.221621621622
102;19;Undirected;154;0.4
4;104;Undirected;155;0.340540540541
22;88;Undirected;156;0.259459459459
105;19;Undirected;157;0.956756756757
40;8;Undirected;158;0.216216216216
106;36;Undirected;159;0.216216216216
98;107;Undirected;160;0.221621621622
19;49;Undirected;161;0.378378378378
103;20;Undirected;162;0.335135135135
25;41;Undirected;163;0.27027027027
108;11;Undirected;164;0.535135135135
60;7;Undirected;165;0.221621621622
109;4;Undirected;166;0.518918918919
16;46;Undirected;167;0.216216216216
59;7;Undirected;168;0.221621621622
19;61;Undirected;169;0.221621621622
11;82;Undirected;170;0.535135135135
110;19;Undirected;171;0.297297297297
19;96;Undirected;172;0.216216216216
76;68;Undirected;173;0.362162162162
4;111;Undirected;174;0.221621621622
5;65;Undirected;175;0.616216216216
24;4;Undirected;176;0.237837837838
101;19;Undirected;177;0.6
19;52;Undirected;178;0.432432432432
108;34;Undirected;179;0.535135135135
19;112;Undirected;180;0.264864864865
55;58;Undirected;181;0.621621621622
113;86;Undirected;182;0.481081081081
19;48;Undirected;183;0.356756756757
22;70;Undirected;184;0.47027027027
10;34;Undirected;185;0.52972972973
66;48;Undirected;186;0.227027027027
12;68;Undirected;187;0.356756756757
4;19;Undirected;188;0.237837837838
74;9;Undirected;189;0.340540540541
47;4;Undirected;190;0.302702702703
26;37;Undirected;191;0.421621621622
18;47;Undirected;192;0.259459459459
4;57;Undirected;193;0.248648648649
79;47;Undirected;194;0.259459459459
26;19;Undirected;195;0.367567567568
33;25;Undirected;196;0.291891891892
114;93;Undirected;197;0.513513513514
4;99;Undirected;198;0.481081081081
19;58;Undirected;199;0.621621621622
108;82;Undirected;200;0.535135135135
