Source;Target;Type;id;weight
433;6;Undirected;382;0.0025
434;435;Undirected;383;0.0025
57;436;Undirected;384;0.0025
282;154;Undirected;385;0.0025
221;11;Undirected;386;0.0025
11;437;Undirected;387;0.0025
438;417;Undirected;388;0.0025
439;56;Undirected;389;0.0025
440;145;Undirected;390;0.05
441;442;Undirected;391;0.0025
443;11;Undirected;392;0.0025
6;444;Undirected;393;0.0025
6;445;Undirected;394;0.005
446;178;Undirected;395;0.0025
218;303;Undirected;396;0.0025
447;448;Undirected;397;0.0025
449;6;Undirected;398;0.0025
23;450;Undirected;399;0.0025
403;49;Undirected;400;0.0025
355;313;Undirected;401;0.0025
32;451;Undirected;402;0.0075
6;368;Undirected;403;0.0025
452;49;Undirected;404;0.0025
11;453;Undirected;405;0.0025
454;402;Undirected;406;0.0025
187;224;Undirected;407;0.0025
6;455;Undirected;408;0.005
6;456;Undirected;409;0.0025
457;264;Undirected;410;0.0025
79;458;Undirected;411;0.0025
6;459;Undirected;412;0.0025
460;70;Undirected;413;0.0025
461;462;Undirected;414;0.0025
463;279;Undirected;415;0.0025
385;17;Undirected;416;0.0025
132;464;Undirected;417;0.0025
191;65;Undirected;418;0.0025
79;11;Undirected;419;0.0075
6;56;Undirected;420;0.005
465;466;Undirected;421;0.0025
270;56;Undirected;422;0.0025
467;11;Undirected;423;0.0025
468;469;Undirected;424;0.0025
470;471;Undirected;425;0.0025
56;368;Undirected;426;0.0025
23;264;Undirected;427;0.0025
472;5;Undirected;428;0.0025
49;473;Undirected;429;0.0025
147;435;Undirected;430;0.0025
454;474;Undirected;431;0.0025
475;208;Undirected;432;0.0025
11;154;Undirected;433;0.0025
476;477;Undirected;434;0.0025
478;79;Undirected;435;0.0075
115;392;Undirected;436;0.0025
479;11;Undirected;437;0.0025
47;45;Undirected;438;0.0025
11;480;Undirected;439;0.0075
481;11;Undirected;440;0.0025
482;11;Undirected;441;0.0225
103;483;Undirected;442;0.0025
330;4;Undirected;443;0.0025
484;97;Undirected;444;0.0025
6;24;Undirected;445;0.0675
485;6;Undirected;446;0.0025
288;486;Undirected;447;0.0025
129;156;Undirected;448;0.0025
79;487;Undirected;449;0.005
488;6;Undirected;450;0.0025
489;454;Undirected;451;0.0025
330;3;Undirected;452;0.0025
490;258;Undirected;453;0.0025
491;11;Undirected;454;0.005
57;492;Undirected;455;0.0025
137;493;Undirected;456;0.0025
23;362;Undirected;457;0.0025
117;79;Undirected;458;0.0025
178;494;Undirected;459;0.0025
226;495;Undirected;460;0.0025
11;496;Undirected;461;0.0025
6;497;Undirected;462;0.0025
79;393;Undirected;463;0.005
11;39;Undirected;464;0.0225
498;168;Undirected;465;0.0025
499;6;Undirected;466;0.0025
400;6;Undirected;467;0.0025
500;501;Undirected;468;0.005
475;155;Undirected;469;0.0025
6;502;Undirected;470;0.0025
6;503;Undirected;471;0.0025
122;504;Undirected;472;0.0025
255;11;Undirected;473;0.0025
505;231;Undirected;474;0.0025
506;11;Undirected;475;0.0025
367;6;Undirected;476;0.0025
355;6;Undirected;477;0.005
6;507;Undirected;478;0.0025
23;423;Undirected;479;0.0025
506;125;Undirected;480;0.0025
508;11;Undirected;481;0.0025
509;510;Undirected;482;0.0025
210;511;Undirected;483;0.0025
252;512;Undirected;484;0.0025
11;513;Undirected;485;0.0025
6;288;Undirected;486;0.0025
514;487;Undirected;487;0.0025
515;298;Undirected;488;0.0025
516;6;Undirected;489;0.0025
22;6;Undirected;490;0.005
