Source;Target;Type;id;weight
15;96;Undirected;61;0.00130890052356
97;98;Undirected;62;0.00130890052356
99;100;Undirected;63;0.00130890052356
101;14;Undirected;64;0.00130890052356
102;103;Undirected;65;0.00130890052356
104;105;Undirected;66;0.00130890052356
106;14;Undirected;67;0.0183246073298
15;90;Undirected;68;0.00785340314136
47;107;Undirected;69;0.00130890052356
108;109;Undirected;70;0.00130890052356
85;110;Undirected;71;0.00130890052356
15;111;Undirected;72;0.00130890052356
15;112;Undirected;73;0.00261780104712
113;17;Undirected;74;0.00130890052356
114;114;Undirected;75;0.00130890052356
115;116;Undirected;76;0.00130890052356
117;14;Undirected;77;0.00261780104712
118;47;Undirected;78;0.00130890052356
119;120;Undirected;79;0.00130890052356
15;121;Undirected;80;0.00130890052356
122;123;Undirected;81;0.00130890052356
124;125;Undirected;82;0.00130890052356
126;26;Undirected;83;0.00261780104712
26;127;Undirected;84;0.00130890052356
128;129;Undirected;85;0.00130890052356
130;131;Undirected;86;0.00130890052356
132;133;Undirected;87;0.00130890052356
2;134;Undirected;88;0.00130890052356
123;135;Undirected;89;0.00130890052356
136;137;Undirected;90;0.00130890052356
138;139;Undirected;91;0.0143979057592
140;141;Undirected;92;0.00130890052356
142;86;Undirected;93;0.00130890052356
14;143;Undirected;94;0.00130890052356
112;144;Undirected;95;0.00130890052356
145;146;Undirected;96;0.00130890052356
15;147;Undirected;97;0.00261780104712
47;148;Undirected;98;0.00130890052356
149;47;Undirected;99;0.00130890052356
150;151;Undirected;100;0.00130890052356
47;78;Undirected;101;0.00130890052356
14;79;Undirected;102;0.00130890052356
152;15;Undirected;103;0.00130890052356
153;154;Undirected;104;0.00130890052356
155;156;Undirected;105;0.00130890052356
2;157;Undirected;106;0.00130890052356
14;158;Undirected;107;0.00130890052356
47;159;Undirected;108;0.00130890052356
78;160;Undirected;109;0.00130890052356
161;162;Undirected;110;0.00130890052356
163;164;Undirected;111;0.00130890052356
165;166;Undirected;112;0.00130890052356
167;168;Undirected;113;0.00130890052356
169;170;Undirected;114;0.00130890052356
171;21;Undirected;115;0.00130890052356
172;140;Undirected;116;0.00130890052356
173;174;Undirected;117;0.00130890052356
175;176;Undirected;118;0.00130890052356
97;96;Undirected;119;0.00130890052356
177;178;Undirected;120;0.00130890052356
179;146;Undirected;121;0.00130890052356
15;180;Undirected;122;0.00130890052356
181;26;Undirected;123;0.00130890052356
182;183;Undirected;124;0.00130890052356
184;14;Undirected;125;0.00130890052356
123;185;Undirected;126;0.00130890052356
186;187;Undirected;127;0.00130890052356
188;189;Undirected;128;0.00130890052356
190;191;Undirected;129;0.00130890052356
26;192;Undirected;130;0.00130890052356
193;194;Undirected;131;0.00130890052356
195;196;Undirected;132;0.00130890052356
26;99;Undirected;133;0.00130890052356
197;198;Undirected;134;0.00130890052356
15;199;Undirected;135;0.00130890052356
200;101;Undirected;136;0.00130890052356
26;201;Undirected;137;0.00130890052356
202;203;Undirected;138;0.00130890052356
165;14;Undirected;139;0.00130890052356
204;205;Undirected;140;0.00130890052356
206;207;Undirected;141;0.00130890052356
